course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
1027342,Rapid Website Design with Bootstrap,200,Paid,14842,131,17,All Levels,0.88,1,02-12-2016,2016,12,Web Development,2968400
427530,Learn  Bootstrap Development By Building 10 Projects,60,Paid,14813,1358,74,Beginner Level,0.15,13.5,23-02-2015,2015,2,Web Development,888780
269638,Codeigniter: How to use Codeigniter that drives knowledge,150,Paid,14606,235,21,Intermediate Level,0.48,3,29-07-2014,2014,7,Web Development,2190900
34882,Creating an MP3 Player with HTML5,20,Paid,14551,169,14,Beginner Level,0.15,1.5,31-01-2013,2013,1,Web Development,291020
574876,Get started Creating Websites Everything you need provided,100,Paid,14260,44,43,Beginner Level,0.25,3,25-09-2015,2015,9,Web Development,1426000
499632,Benefits of Thinking Mobile First Future of Website Design,75,Paid,14254,27,20,All Levels,0.3,1.5,13-05-2015,2015,5,Web Development,1069050
778112,HTML5 canvas Bootcamp for beginners 25 easy steps,120,Paid,14118,30,27,All Levels,0.64,2,01-03-2016,2016,3,Web Development,1694160
390866,The Complete Web Developer Bootcamp - Beginner to Expert,190,Paid,14103,1548,197,All Levels,0.78,21.5,19-01-2015,2015,1,Web Development,2679570
94428,Learn Complete Web Development From Scratch,40,Paid,14074,106,46,All Levels,0.66,12,23-10-2013,2013,10,Web Development,562960
628222,How to Make an Online Portfolio Website from Scratch,0,Free,14026,232,25,All Levels,0.66,1,02-10-2015,2015,10,Web Development,0
269006,Learn Html5 & CSS3 from scratch,20,Paid,13960,239,19,All Levels,0.4,2.5,26-07-2014,2014,7,Web Development,279200
958750,Web Design Creating websites from scratch,75,Paid,13920,64,28,All Levels,0.41,2,19-09-2016,2016,9,Web Development,1044000
566248,jQuery Fundamentals Powerful Bootcamp for beginners,150,Paid,13882,63,47,Beginner Level,0.74,3,04-08-2015,2015,8,Web Development,2082300
881210,Learn Complete WordPress for Building a Professional Sites,80,Paid,13708,92,62,All Levels,0.78,9,23-06-2016,2016,6,Web Development,1096640
884946,Code a 'Coming Soon' Landing Page in Bootstrap 4,0,Free,13535,473,18,Beginner Level,0.87,1.5,17-08-2016,2016,8,Web Development,0
1165096,Vue JS - Mastering Web Apps,80,Paid,13457,215,69,All Levels,0.21,4.5,06-04-2017,2017,4,Web Development,1076560
520116,The Complete WordPress Website Business Course,150,Paid,13439,1981,89,Beginner Level,0.11,20.5,01-11-2016,2016,11,Web Development,2015850
563248,JavaScript Step by Step how to apply it to your web pages,100,Paid,13406,78,44,All Levels,0.54,1.5,26-07-2015,2015,7,Web Development,1340600
226534,WordPress Backup And Restore Fundamentals,0,Free,13242,131,24,All Levels,0.74,1,24-06-2014,2014,6,Web Development,0
1023062,Serverless Architecture on Amazon Web Services,0,Free,13210,978,8,Beginner Level,0.54,0.55,30-11-2016,2016,11,Web Development,0
778084,Ruby on Rails a Beginners Guide,0,Free,13130,346,88,Beginner Level,0.62,6.5,18-03-2016,2016,3,Web Development,0
752706,Write quicker HTML5 and CSS 3; productivity hacks with emmet,0,Free,13016,286,15,Intermediate Level,0.24,1.5,03-03-2016,2016,3,Web Development,0
861624,ES6 Javascript: The Complete Developer's Guide,80,Paid,13010,2709,68,All Levels,0.41,6.5,12-07-2016,2016,7,Web Development,1040800
382856,Create Startup Landing Page with Viral Marketing Strategies,0,Free,12974,120,13,Beginner Level,0.15,1,03-01-2015,2015,1,Web Development,0
939962,"Learn SVG Animation - With HTML, CSS & Javascript",65,Paid,12953,680,22,All Levels,0.15,1.5,12-09-2016,2016,9,Web Development,841945
646056,How to Make a Video Blog Website From Scratch w/ Wordpress,0,Free,12952,163,22,All Levels,0.24,1,21-10-2015,2015,10,Web Development,0
917724,Learn JavaScript for Web Development,75,Paid,12893,220,95,Beginner Level,0.1,8.5,12-10-2016,2016,10,Web Development,966975
682484,Create a Website from Scratch using HTML CSS step by step,75,Paid,12882,95,20,All Levels,0.74,1.5,27-11-2015,2015,11,Web Development,966150
101864,Programming for Entrepreneurs - JavaScript,200,Paid,12873,106,38,Beginner Level,0.48,2.5,11-11-2013,2013,11,Web Development,2574600
788514,Learn to use JSON,150,Paid,12838,96,22,Intermediate Level,0.85,1.5,11-03-2016,2016,3,Web Development,1925700
1049092,React JS - Build real world JS apps & deploy on cloud,175,Paid,12815,262,53,All Levels,0.52,8.5,12-02-2017,2017,2,Web Development,2242625
732556,PHP: Complete Registration and Login with Email Verification,20,Paid,12781,145,22,Intermediate Level,0.96,2.5,27-01-2016,2016,1,Web Development,255620
561136,Responsive Design with NEW Materialize,75,Paid,12629,88,36,Beginner Level,0.99,1.5,23-07-2015,2015,7,Web Development,947175
188828,Web Hosting Set Up and WordPress Installation For Beginners,0,Free,12563,239,11,All Levels,0.18,0.566666667,09-04-2014,2014,4,Web Development,0
8325,HTML Tutorial: HTML & CSS for Beginners,20,Paid,12458,253,82,Beginner Level,0.76,4,09-09-2011,2011,9,Web Development,249160
657734,Complete AJAX Course: Learn AJAX Techniques Using Bootstrap,195,Paid,12368,89,26,Intermediate Level,0.14,3.5,13-11-2015,2015,11,Web Development,2411760
1247828,Angular 4 (2+) Crash Course for Beginners,120,Paid,12366,506,120,Beginner Level,0.2,9,23-06-2017,2017,6,Web Development,1483920
777654,Learn what's new in PHP 7,0,Free,12336,271,26,Beginner Level,0.96,3.5,04-04-2016,2016,4,Web Development,0
217010,Website Secrets: Get a Gorgeous Website on the Cheap,50,Paid,12328,15,32,All Levels,0.89,2,04-07-2014,2014,7,Web Development,616400
370752,How to Make a Wordpress Website 2017,0,Free,12293,235,18,Beginner Level,0.49,3,14-01-2015,2015,1,Web Development,0
890810,Practical Understanding of PHP and MySQL,0,Free,12201,217,24,All Levels,0.81,5.5,06-07-2016,2016,7,Web Development,0
113706,Build Flat Responsive Website from Scratch - Complete Course,35,Paid,12105,144,54,Beginner Level,0.15,7.5,04-12-2013,2013,12,Web Development,423675
723522,PHP Fundamentals - Start Earning The Top Dollars You Deserve,195,Paid,12068,81,12,Intermediate Level,0.74,1.5,05-04-2016,2016,4,Web Development,2353260
746014,The Complete Sass & SCSS Course: From Beginner to Advanced,195,Paid,12021,660,41,All Levels,0.3,4,24-02-2016,2016,2,Web Development,2344095
560996,You can create Incredible Websites with HTML CSS learn how,100,Paid,11892,50,28,Intermediate Level,0.82,2.5,12-09-2015,2015,9,Web Development,1189200
26845,Advanced HTML5 Tutorial for Web Developers,50,Paid,11847,57,57,All Levels,0.18,7.5,17-10-2012,2012,10,Web Development,592350
822444,Python and Django Full Stack Web Developer Bootcamp,200,Paid,11832,1883,191,Beginner Level,0.29,31.5,24-02-2017,2017,2,Web Development,2366400
563668,Learn how to create a WordPress theme using Pinegrow,0,Free,11812,152,19,All Levels,0.41,2,27-07-2015,2015,7,Web Development,0
540724,How To Setup Web Hosting,0,Free,11758,242,8,Beginner Level,0.24,1,15-07-2015,2015,7,Web Development,0
596192,PSD To a Creative Landing Page Using Twitter Bootstrap 3,0,Free,11666,546,20,All Levels,0.55,4,07-04-2016,2016,4,Web Development,0
77642,Learn HTML 5 in 1 hour,100,Paid,11643,169,21,All Levels,0.93,1,12-08-2013,2013,8,Web Development,1164300
